dms_id,dms_ids.0.db,dms_ids.0.id,dms_ids_extend.0.db,dms_ids_extend.0.id,dms_name,dms_synonym.0,dms_synonym.1,dms_synonym.2,dms_synonym.3,dms_synonym.4,dms_synonym.5,dms_synonym_extend.0,dms_synonym_extend.1,dms_synonym_extend.2,dms_synonym_extend.3,dms_synonym_extend.4,dms_synonym_extend.5
A03.3,ICD10,A03.3,ICD10,A03.3,Shigellosis due to Shigella sonnei,Group D shigellosis,Shigellosis due to Shigella sonnei,,,,,Group D shigellosis,Shigellosis due to Shigella sonnei,,,,
A03.8,ICD10,A03.8,ICD10,A03.8,Other shigellosis,Other shigellosis,,,,,,Other shigellosis,,,,,
A03.9,ICD10,A03.9,ICD10,A03.9,"Shigellosis, unspecified",Bacillary dysentery NOS,"Shigellosis, unspecified",,,,,Bacillary dysentery NOS,"Shigellosis, unspecified",,,,
A04,ICD10,A04,ICD10,A04,Other bacterial intestinal infections,Other bacterial intestinal infections,,,,,,foodborne intoxications elsewhere classified,Other bacterial intestinal infections,tuberculous enteritisA18.3,,,
A04.0,ICD10,A04.0,ICD10,A04.0,Enteropathogenic Escherichia coli infection,Enteropathogenic Escherichia coli infection,,,,,,Enteropathogenic Escherichia coli infection,,,,,
A04.1,ICD10,A04.1,ICD10,A04.1,Enterotoxigenic Escherichia coli infection,Enterotoxigenic Escherichia coli infection,,,,,,Enterotoxigenic Escherichia coli infection,,,,,
A04.2,ICD10,A04.2,ICD10,A04.2,Enteroinvasive Escherichia coli infection,Enteroinvasive Escherichia coli infection,,,,,,Enteroinvasive Escherichia coli infection,,,,,
A04.3,ICD10,A04.3,ICD10,A04.3,Enterohaemorrhagic Escherichia coli infection,Enterohaemorrhagic Escherichia coli infection,,,,,,Enterohaemorrhagic Escherichia coli infection,,,,,
A04.4,ICD10,A04.4,ICD10,A04.4,Other intestinal Escherichia coli infections,Other intestinal Escherichia coli infections,Escherichia coli enteritis NOS,,,,,Other intestinal Escherichia coli infections,Escherichia coli enteritis NOS,,,,
A04.5,ICD10,A04.5,ICD10,A04.5,Campylobacter enteritis,Campylobacter enteritis,,,,,,Campylobacter enteritis,,,,,
A04.6,ICD10,A04.6,ICD10,A04.6,Enteritis due to Yersinia enterocolitica,Enteritis due to Yersinia enterocolitica,,,,,,Enteritis due to Yersinia enterocolitica,extraintestinal yersiniosisA28.2,,,,
A04.7,ICD10,A04.7,ICD10,A04.7,Enterocolitis due to Clostridium difficile,Foodborne intoxication by Clostridium difficile,Enterocolitis due to Clostridium difficile,Pseudomembranous colitis,,,,Foodborne intoxication by Clostridium difficile,Enterocolitis due to Clostridium difficile,Pseudomembranous colitis,,,
A04.8,ICD10,A04.8,ICD10,A04.8,Other specified bacterial intestinal infections,Other specified bacterial intestinal infections,,,,,,Other specified bacterial intestinal infections,,,,,
A04.9,ICD10,A04.9,ICD10,A04.9,"Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified",Bacterial enteritis NOS,,,,,"Bacterial intestinal infection, unspecified",Bacterial enteritis NOS,,,,
A05,ICD10,A05,ICD10,A05,"Other bacterial foodborne intoxications, not elsewhere classified","Other bacterial foodborne intoxications, not elsewhere classified",,,,,,salmonella foodborne intoxication and infectionA02.-,Escherichia coli infectionA04.0-A04.4,Clostridium difficile foodborne intoxication and infectionA04.7,"Other bacterial foodborne intoxications, not elsewhere classified",toxic effect of noxious foodstuffsT61-T62,listeriosisA32.-
A05.0,ICD10,A05.0,ICD10,A05.0,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication,,,,,,Foodborne staphylococcal intoxication,,,,,
A05.1,ICD10,A05.1,ICD10,A05.1,Botulism,Botulism,Classical foodborne intoxication due to Clostridium botulinum,,,,,Botulism,Classical foodborne intoxication due to Clostridium botulinum,,,,
A05.2,ICD10,A05.2,ICD10,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Pig-bel,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Enteritis necroticans,,,,Pig-bel,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Enteritis necroticans,,,
A05.3,ICD10,A05.3,ICD10,A05.3,Foodborne Vibrio parahaemolyticus intoxication,Foodborne Vibrio parahaemolyticus intoxication,,,,,,Foodborne Vibrio parahaemolyticus intoxication,,,,,
A05.4,ICD10,A05.4,ICD10,A05.4,Foodborne Bacillus cereus intoxication,Foodborne Bacillus cereus intoxication,,,,,,Foodborne Bacillus cereus intoxication,,,,,
A05.8,ICD10,A05.8,ICD10,A05.8,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications,,,,,,Other specified bacterial foodborne intoxications,,,,,
A05.9,ICD10,A05.9,ICD10,A05.9,"Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified",,,,,,"Bacterial foodborne intoxication, unspecified",,,,,
A06,ICD10,A06,ICD10,A06,Amoebiasis,Amoebiasis,infection due to Entamoeba histolytica,,,,,other protozoal intestinal diseasesA07.-,Amoebiasis,infection due to Entamoeba histolytica,,,
A06.0,ICD10,A06.0,ICD10,A06.0,Acute amoebic dysentery,Acute amoebic dysentery,Acute amoebiasis,Intestinal amoebiasis NOS,,,,Acute amoebic dysentery,Acute amoebiasis,Intestinal amoebiasis NOS,,,
A06.1,ICD10,A06.1,ICD10,A06.1,Chronic intestinal amoebiasis,Chronic intestinal amoebiasis,,,,,,Chronic intestinal amoebiasis,,,,,
A06.2,ICD10,A06.2,ICD10,A06.2,Amoebic nondysenteric colitis,Amoebic nondysenteric colitis,,,,,,Amoebic nondysenteric colitis,,,,,
A06.3,ICD10,A06.3,ICD10,A06.3,Amoeboma of intestine,Amoeboma of intestine,Amoeboma NOS,,,,,Amoeboma of intestine,Amoeboma NOS,,,,
A06.4,ICD10,A06.4,ICD10,A06.4,Amoebic liver abscessK77.0,Amoebic liver abscessK77.0,Hepatic amoebiasis,,,,,Amoebic liver abscessK77.0,Hepatic amoebiasis,,,,
A06.5,ICD10,A06.5,ICD10,A06.5,Amoebic lung abscessJ99.8,Amoebic lung abscessJ99.8,Amoebic abscess of lung (and liver),,,,,Amoebic lung abscessJ99.8,Amoebic abscess of lung (and liver),,,,
A06.6,ICD10,A06.6,ICD10,A06.6,Amoebic brain abscessG07,Amoebic abscess of brain (and liver)(and lung),Amoebic brain abscessG07,,,,,Amoebic abscess of brain (and liver)(and lung),Amoebic brain abscessG07,,,,
A06.7,ICD10,A06.7,ICD10,A06.7,Cutaneous amoebiasis,Cutaneous amoebiasis,,,,,,Cutaneous amoebiasis,,,,,
A06.8,ICD10,A06.8,ICD10,A06.8,Amoebic infection of other sites,Amoebic infection of other sites,Amoebic: balanitisN51.2,Amoebic: appendicitis,,,,Amoebic infection of other sites,Amoebic: balanitisN51.2,Amoebic: appendicitis,,,
A06.9,ICD10,A06.9,ICD10,A06.9,"Amoebiasis, unspecified","Amoebiasis, unspecified",,,,,,"Amoebiasis, unspecified",,,,,
A07,ICD10,A07,ICD10,A07,Other protozoal intestinal diseases,Other protozoal intestinal diseases,,,,,,Other protozoal intestinal diseases,,,,,
A07.0,ICD10,A07.0,ICD10,A07.0,Balantidiasis,Balantidial dysentery,Balantidiasis,,,,,Balantidial dysentery,Balantidiasis,,,,
A07.1,ICD10,A07.1,ICD10,A07.1,Giardiasis [lambliasis],Giardiasis [lambliasis],,,,,,Giardiasis [lambliasis],,,,,
A07.2,ICD10,A07.2,ICD10,A07.2,Cryptosporidiosis,Cryptosporidiosis,,,,,,Cryptosporidiosis,,,,,
A07.3,ICD10,A07.3,ICD10,A07.3,Isosporiasis,Intestinal coccidiosis,Infection due to Isospora belli and Isospora hominis,Isosporiasis,Isosporosis,,,Intestinal coccidiosis,Infection due to Isospora belli and Isospora hominis,Isosporiasis,Isosporosis,,
A07.8,ICD10,A07.8,ICD10,A07.8,Other specified protozoal intestinal diseases,Sarcocystosis,Intestinal trichomoniasis,Sarcosporidiosis,Other specified protozoal intestinal diseases,,,Sarcocystosis,Intestinal trichomoniasis,Sarcosporidiosis,Other specified protozoal intestinal diseases,,
A07.9,ICD10,A07.9,ICD10,A07.9,"Protozoal intestinal disease, unspecified","Protozoal intestinal disease, unspecified",Protozoal: colitis,Protozoal: diarrhoea,Flagellate diarrhoea,Protozoal: dysentery,,"Protozoal intestinal disease, unspecified",Protozoal: colitis,Protozoal: diarrhoea,Flagellate diarrhoea,Protozoal: dysentery,
A08,ICD10,A08,ICD10,A08,Viral and other specified intestinal infections,Viral and other specified intestinal infections,,,,,,Viral and other specified intestinal infections,influenza with involvement of gastrointestinal tractJ09J10.8J11.8,,,,
A08.0,ICD10,A08.0,ICD10,A08.0,Rotaviral enteritis,Rotaviral enteritis,,,,,,Rotaviral enteritis,,,,,
A08.1,ICD10,A08.1,ICD10,A08.1,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent,Small round structured virus enteritis,,,,,Acute gastroenteropathy due to Norwalk agent,Small round structured virus enteritis,,,,
A08.2,ICD10,A08.2,ICD10,A08.2,Adenoviral enteritis,Adenoviral enteritis,,,,,,Adenoviral enteritis,,,,,
A08.3,ICD10,A08.3,ICD10,A08.3,Other viral enteritis,Other viral enteritis,,,,,,Other viral enteritis,,,,,
A08.4,ICD10,A08.4,ICD10,A08.4,"Viral intestinal infection, unspecified",Viral: enteritis NOS,"Viral intestinal infection, unspecified",Viral: gastroenteropathy NOS,Viral: gastroenteritis NOS,,,Viral: enteritis NOS,"Viral intestinal infection, unspecified",Viral: gastroenteropathy NOS,Viral: gastroenteritis NOS,,
A08.5,ICD10,A08.5,ICD10,A08.5,Other specified intestinal infections,Other specified intestinal infections,,,,,,Other specified intestinal infections,,,,,
A09,ICD10,A09,ICD10,A09,Other gastroenteritis and colitis of infectious and unspecified origin,Other gastroenteritis and colitis of infectious and unspecified origin,,,,,,Other gastroenteritis and colitis of infectious and unspecified origin,noninfective (see noninfectious) diarrhoea neonatalP78.3,noninfective (see noninfectious) diarrhoeaK52.9,"due to bacterial, protozoal, viral and other specified infectious agentsA00-A08",,
A09.0,ICD10,A09.0,ICD10,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,Infectious diarrhoea NOS,Diarrhoea: acute haemorrhagic,Infectious or septic enteritis NOS,Infectious or septic colitis haemorrhagic,Infectious or septic gastroenteritis haemorrhagic,Diarrhoea: epidemic,Infectious diarrhoea NOS,Diarrhoea: acute haemorrhagic,Infectious or septic enteritis NOS,Infectious or septic colitis haemorrhagic,Infectious or septic gastroenteritis haemorrhagic,Diarrhoea: epidemic
A09.9,ICD10,A09.9,ICD10,A09.9,Gastroenteritis and colitis of unspecified origin,Neonatal diarrhoea NOS,Gastroenteritis and colitis of unspecified origin,,,,,Neonatal diarrhoea NOS,Gastroenteritis and colitis of unspecified origin,,,,
A15,ICD10,A15,ICD10,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Respiratory tuberculosis, bacteriologically and histologically confirmed",,,,,,"Respiratory tuberculosis, bacteriologically and histologically confirmed",,,,,
A15.0,ICD10,A15.0,ICD10,A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",Tuberculous: bronchiectasis confirmed by sputum microscopy with or without culture,Tuberculous: pneumonia confirmed by sputum microscopy with or without culture,Tuberculous: fibrosis of lung confirmed by sputum microscopy with or without culture,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",Tuberculous: pneumothorax confirmed by sputum microscopy with or without culture,,Tuberculous: bronchiectasis confirmed by sputum microscopy with or without culture,Tuberculous: pneumonia confirmed by sputum microscopy with or without culture,Tuberculous: fibrosis of lung confirmed by sputum microscopy with or without culture,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",Tuberculous: pneumothorax confirmed by sputum microscopy with or without culture,
A15.1,ICD10,A15.1,ICD10,A15.1,"Tuberculosis of lung, confirmed by culture only","Tuberculosis of lung, confirmed by culture only","Conditions listed in A15.0, confirmed by culture only",,,,,"Tuberculosis of lung, confirmed by culture only","Conditions listed in A15.0, confirmed by culture only",,,,
A15.2,ICD10,A15.2,ICD10,A15.2,"Tuberculosis of lung, confirmed histologically","Conditions listed in A15.0, confirmed histologically","Tuberculosis of lung, confirmed histologically",,,,,"Conditions listed in A15.0, confirmed histologically","Tuberculosis of lung, confirmed histologically",,,,
A15.3,ICD10,A15.3,ICD10,A15.3,"Tuberculosis of lung, confirmed by unspecified means","Conditions listed in A15.0, confirmed but unspecified whether bacteriologically or histologically","Tuberculosis of lung, confirmed by unspecified means",,,,,"Conditions listed in A15.0, confirmed but unspecified whether bacteriologically or histologically","Tuberculosis of lung, confirmed by unspecified means",,,,
A15.4,ICD10,A15.4,ICD10,A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",Tuberculosis of lymph nodes: tracheobronchial confirmed bacteriologically and histologically,Tuberculosis of lymph nodes: mediastinal confirmed bacteriologically and histologically,Tuberculosis of lymph nodes: hilar confirmed bacteriologically and histologically,,,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",Tuberculosis of lymph nodes: tracheobronchial confirmed bacteriologically and histologically,Tuberculosis of lymph nodes: mediastinal confirmed bacteriologically and histologically,specified as primaryA15.7,Tuberculosis of lymph nodes: hilar confirmed bacteriologically and histologically,
A15.5,ICD10,A15.5,ICD10,A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",Tuberculosis of: glottis confirmed bacteriologically and histologically,Tuberculosis of: bronchus confirmed bacteriologically and histologically,Tuberculosis of: larynx confirmed bacteriologically and histologically,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",Tuberculosis of: trachea confirmed bacteriologically and histologically,,Tuberculosis of: glottis confirmed bacteriologically and histologically,Tuberculosis of: bronchus confirmed bacteriologically and histologically,Tuberculosis of: larynx confirmed bacteriologically and histologically,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",Tuberculosis of: trachea confirmed bacteriologically and histologically,
A15.6,ICD10,A15.6,ICD10,A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",Tuberculosis of pleura confirmed bacteriologically and histologically,"Tuberculous pleurisy, confirmed bacteriologically and histologically",Tuberculous empyema confirmed bacteriologically and histologically,,,,"in primary respiratory tuberculosis, confirmed bacteriologically and histologicallyA15.7",Tuberculosis of pleura confirmed bacteriologically and histologically,"Tuberculous pleurisy, confirmed bacteriologically and histologically",Tuberculous empyema confirmed bacteriologically and histologically,,
A15.7,ICD10,A15.7,ICD10,A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically","Primary respiratory tuberculosis, confirmed bacteriologically and histologically",,,,,,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",,,,,
A15.8,ICD10,A15.8,ICD10,A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",Tuberculosis of: sinus [any nasal] confirmed bacteriologically and histologically,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",Nasopharyngeal tuberculosis confirmed bacteriologically and histologically,Tuberculosis of: nose confirmed bacteriologically and histologically,Mediastinal tuberculosis confirmed bacteriologically and histologically,,Tuberculosis of: sinus [any nasal] confirmed bacteriologically and histologically,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",Nasopharyngeal tuberculosis confirmed bacteriologically and histologically,Tuberculosis of: nose confirmed bacteriologically and histologically,Mediastinal tuberculosis confirmed bacteriologically and histologically,
A15.9,ICD10,A15.9,ICD10,A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",,,,,,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",,,,,
A16,ICD10,A16,ICD10,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically",,,,,,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",,,,,
A16.0,ICD10,A16.0,ICD10,A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",Tuberculous: bronchiectasis bacteriologically and histologically negative,Tuberculous: pneumothorax bacteriologically and histologically negative,Tuberculous: fibrosis of lung bacteriologically and histologically negative,"Tuberculosis of lung, bacteriologically and histologically negative",Tuberculous: pneumonia bacteriologically and histologically negative,,Tuberculous: bronchiectasis bacteriologically and histologically negative,Tuberculous: pneumothorax bacteriologically and histologically negative,Tuberculous: fibrosis of lung bacteriologically and histologically negative,"Tuberculosis of lung, bacteriologically and histologically negative",Tuberculous: pneumonia bacteriologically and histologically negative,
A16.1,ICD10,A16.1,ICD10,A16.1,"Tuberculosis of lung, bacteriological and histological examination not done","Conditions listed in A16.0, bacteriological and histological examination not done","Tuberculosis of lung, bacteriological and histological examination not done",,,,,"Conditions listed in A16.0, bacteriological and histological examination not done","Tuberculosis of lung, bacteriological and histological examination not done",,,,
A16.2,ICD10,A16.2,ICD10,A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",Tuberculous: pneumothorax NOS (without mention of bacteriological or histological confirmation),Tuberculous: pneumonia NOS (without mention of bacteriological or histological confirmation),Tuberculous: fibrosis of lung NOS (without mention of bacteriological or histological confirmation),"Tuberculosis of lung, without mention of bacteriological or histological confirmation",Tuberculosis of lung NOS (without mention of bacteriological or histological confirmation),Tuberculous: bronchiectasis NOS (without mention of bacteriological or histological confirmation),Tuberculous: pneumothorax NOS (without mention of bacteriological or histological confirmation),Tuberculous: pneumonia NOS (without mention of bacteriological or histological confirmation),Tuberculous: fibrosis of lung NOS (without mention of bacteriological or histological confirmation),"Tuberculosis of lung, without mention of bacteriological or histological confirmation",Tuberculosis of lung NOS (without mention of bacteriological or histological confirmation),Tuberculous: bronchiectasis NOS (without mention of bacteriological or histological confirmation)
A16.3,ICD10,A16.3,ICD10,A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",Tuberculosis of lymph nodes: tracheobronchial NOS (without mention of bacteriological or histological confirmation),Tuberculosis of lymph nodes: mediastinal NOS (without mention of bacteriological or histological confirmation),Tuberculosis of lymph nodes: intrathoracic NOS (without mention of bacteriological or histological confirmation),Tuberculosis of lymph nodes: hilar NOS (without mention of bacteriological or histological confirmation),,Tuberculosis of lymph nodes: intrathoracic NOS (without mention of bacteriological or histological confirmation),"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",Tuberculosis of lymph nodes: tracheobronchial NOS (without mention of bacteriological or histological confirmation),Tuberculosis of lymph nodes: mediastinal NOS (without mention of bacteriological or histological confirmation),when specified as primaryA16.7,Tuberculosis of lymph nodes: hilar NOS (without mention of bacteriological or histological confirmation)
A16.4,ICD10,A16.4,ICD10,A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",Tuberculosis of: glottis NOS (without mention of bacteriological or histological confirmation),Tuberculosis of: trachea NOS (without mention of bacteriological or histological confirmation),Tuberculosis of: larynx NOS (without mention of bacteriological or histological confirmation),Tuberculosis of: bronchus NOS (without mention of bacteriological or histological confirmation),,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",Tuberculosis of: glottis NOS (without mention of bacteriological or histological confirmation),Tuberculosis of: trachea NOS (without mention of bacteriological or histological confirmation),Tuberculosis of: larynx NOS (without mention of bacteriological or histological confirmation),Tuberculosis of: bronchus NOS (without mention of bacteriological or histological confirmation),
A16.5,ICD10,A16.5,ICD10,A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",Tuberculous: empyema NOS (without mention of bacteriological or histological confirmation),"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",Tuberculosis of pleura NOS (without mention of bacteriological or histological confirmation),Tuberculous: pleurisy NOS (without mention of bacteriological or histological confirmation),,,in primary respiratory tuberculosisA16.7,Tuberculous: empyema NOS (without mention of bacteriological or histological confirmation),"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",Tuberculosis of pleura NOS (without mention of bacteriological or histological confirmation),Tuberculous: pleurisy NOS (without mention of bacteriological or histological confirmation),
A16.7,ICD10,A16.7,ICD10,A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Primary: tuberculous complex,Primary: respiratory tuberculosis NOS,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,,,,Primary: tuberculous complex,Primary: respiratory tuberculosis NOS,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,,,
A16.8,ICD10,A16.8,ICD10,A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",Tuberculosis of: nose NOS (without mention of bacteriological or histological confirmation),Tuberculosis of: sinus [any nasal] NOS (without mention of bacteriological or histological confirmation),Mediastinal tuberculosis NOS (without mention of bacteriological or histological confirmation),"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",Nasopharyngeal tuberculosis NOS (without mention of bacteriological or histological confirmation),,Tuberculosis of: nose NOS (without mention of bacteriological or histological confirmation),Tuberculosis of: sinus [any nasal] NOS (without mention of bacteriological or histological confirmation),Mediastinal tuberculosis NOS (without mention of bacteriological or histological confirmation),"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",Nasopharyngeal tuberculosis NOS (without mention of bacteriological or histological confirmation),
A16.9,ICD10,A16.9,ICD10,A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",Respiratory tuberculosis NOS,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",Tuberculosis NOS,,,,Respiratory tuberculosis NOS,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",Tuberculosis NOS,,,
A17,ICD10,A17,ICD10,A17,Tuberculosis of nervous system,Tuberculosis of nervous system,,,,,,Tuberculosis of nervous system,,,,,
A17.0,ICD10,A17.0,ICD10,A17.0,Tuberculous meningitisG01,Tuberculous meningitisG01,Tuberculous leptomeningitis,Tuberculosis of meninges (cerebral)(spinal),,,,Tuberculous meningitisG01,Tuberculous leptomeningitis,Tuberculosis of meninges (cerebral)(spinal),,,
A17.1,ICD10,A17.1,ICD10,A17.1,Meningeal tuberculomaG07,Meningeal tuberculomaG07,Tuberculoma of meninges,,,,,Meningeal tuberculomaG07,Tuberculoma of meninges,,,,
A17.8,ICD10,A17.8,ICD10,A17.8,Other tuberculosis of nervous system,Other tuberculosis of nervous system,Tuberculous: meningoencephalitisG05.0,Tuberculous: myelitisG05.0,Tuberculoma of spinal cordG07,Tuberculoma of brainG07,Tuberculous: abscess of brainG07,Other tuberculosis of nervous system,Tuberculous: meningoencephalitisG05.0,Tuberculous: myelitisG05.0,Tuberculoma of spinal cordG07,Tuberculoma of brainG07,Tuberculous: abscess of brainG07
A17.9,ICD10,A17.9,ICD10,A17.9,"Tuberculosis of nervous system, unspecifiedG99.8","Tuberculosis of nervous system, unspecifiedG99.8",,,,,,"Tuberculosis of nervous system, unspecifiedG99.8",,,,,
A18,ICD10,A18,ICD10,A18,Tuberculosis of other organs,Tuberculosis of other organs,,,,,,Tuberculosis of other organs,,,,,
A18.0,ICD10,A18.0,ICD10,A18.0,Tuberculosis of bones and joints,Tuberculous: osteomyelitisM90.0,Tuberculosis of: kneeM01.1,Tuberculous: arthritisM01.1,Tuberculous: osteitisM90.0,Tuberculous: mastoiditisH75.0,Tuberculous: synovitisM68.0,Tuberculous: osteomyelitisM90.0,Tuberculosis of: kneeM01.1,Tuberculous: arthritisM01.1,Tuberculous: osteitisM90.0,Tuberculous: mastoiditisH75.0,Tuberculous: synovitisM68.0
