dms_id,dms_ids.0.db,dms_ids.0.id,dms_ids.1.db,dms_ids.1.id,dms_ids.2.db,dms_ids.2.id,dms_ids.3.db,dms_ids.3.id,dms_ids.4.db,dms_ids.4.id,dms_ids.5.db,dms_ids.5.id,dms_ids.6.db,dms_ids.6.id,dms_ids.7.db,dms_ids.7.id,dms_ids_extend.0.db,dms_ids_extend.0.id,dms_ids_extend.1.db,dms_ids_extend.1.id,dms_ids_extend.2.db,dms_ids_extend.2.id,dms_ids_extend.3.db,dms_ids_extend.3.id,dms_ids_extend.4.db,dms_ids_extend.4.id,dms_ids_extend.5.db,dms_ids_extend.5.id,dms_ids_extend.6.db,dms_ids_extend.6.id,dms_ids_extend.7.db,dms_ids_extend.7.id,dms_name,dms_synonym.0,dms_synonym.1,dms_synonym.2,dms_synonym.3,dms_synonym.4,dms_synonym_extend.0,dms_synonym_extend.1,dms_synonym_extend.2,dms_synonym_extend.3,dms_synonym_extend.4
0040010,DOID,0040010,ICD10CM,Z88.4,,,,,,,,,,,,,DOID,0040010,ICD10CM,Z88.4,,,,,,,,,,,,,mepivacaine allergy,Carbocaine allergy,Polocaine allergy,mepivacaine allergy,,,Carbocaine allergy,Polocaine allergy,mepivacaine allergy,,
0040011,DOID,0040011,UMLS_CUI,C0570785,,,,,,,,,,,,,DOID,0040011,UMLS_CUI,C0570785,,,,,,,,,,,,,phenobarbital allergy,Luminal allergy,phenobarbital allergy,phenobarbitol allergy,phenobarbitone allergy,,Luminal allergy,phenobarbital allergy,phenobarbitol allergy,phenobarbitone allergy,
0040012,DOID,0040012,UMLS_CUI,C0570789,,,,,,,,,,,,,DOID,0040012,UMLS_CUI,C0570789,,,,,,,,,,,,,phenytoin allergy,Dilantin allergy,phenytoin allergy,,,,Dilantin allergy,phenytoin allergy,,,
0040013,DOID,0040013,UMLS_CUI,C0570577,,,,,,,,,,,,,DOID,0040013,UMLS_CUI,C0570577,,,,,,,,,,,,,ranitidine allergy,Zantac allergy,ranitidine allergy,,,,Zantac allergy,ranitidine allergy,,,
0040014,DOID,0040014,,,,,,,,,,,,,,,DOID,0040014,,,,,,,,,,,,,,,corticosteroid allergy,corticosteroid allergy,,,,,corticosteroid allergy,,,,
0040015,DOID,0040015,ICD10CM,Z88.9,UMLS_CUI,C0038757,,,,,,,,,,,DOID,0040015,ICD10CM,Z88.9,UMLS_CUI,C0038757,,,,,,,,,,,sulfonamide allergy,sulfonamide allergy,,,,,sulfonamide allergy,,,,
0040016,DOID,0040016,,,,,,,,,,,,,,,DOID,0040016,,,,,,,,,,,,,,,sulfamethoxazole allergy,SMX allergy,SMZ allergy,sulfamethoxazole allergy,sulphamethoxazole allergy,,SMX allergy,SMZ allergy,sulfamethoxazole allergy,sulphamethoxazole allergy,
0040017,DOID,0040017,,,,,,,,,,,,,,,DOID,0040017,,,,,,,,,,,,,,,suprofen allergy,Profenal allergy,suprofen allergy,,,,Profenal allergy,suprofen allergy,,,
0040018,DOID,0040018,UMLS_CUI,C0570633,,,,,,,,,,,,,DOID,0040018,UMLS_CUI,C0570633,,,,,,,,,,,,,thiopental allergy,penthiobarbital allergy,pentothiobarbital allergy,thiopental allergy,,,penthiobarbital allergy,pentothiobarbital allergy,thiopental allergy,,
0040019,DOID,0040019,UMLS_CUI,C0571922,,,,,,,,,,,,,DOID,0040019,UMLS_CUI,C0571922,,,,,,,,,,,,,D-mannitol allergy,D-mannitol allergy,mannitol allergy,,,,D-mannitol allergy,mannitol allergy,,,
0040020,DOID,0040020,UMLS_CUI,C0571457,,,,,,,,,,,,,DOID,0040020,UMLS_CUI,C0571457,,,,,,,,,,,,,cefotaxime allergy,cefotaxime allergy,,,,,cefotaxime allergy,,,,
0040021,DOID,0040021,UMLS_CUI,C0571444,,,,,,,,,,,,,DOID,0040021,UMLS_CUI,C0571444,,,,,,,,,,,,,cephalosporin allergy,cephalosporin allergy,,,,,cephalosporin allergy,,,,
0040022,DOID,0040022,UMLS_CUI,C0571303,,,,,,,,,,,,,DOID,0040022,UMLS_CUI,C0571303,,,,,,,,,,,,,amodiaquine allergy,Camoquin allergy,Flavoquine allergy,amodiaquine allergy,,,Camoquin allergy,Flavoquine allergy,amodiaquine allergy,,
0040023,DOID,0040023,UMLS_CUI,C0571453,,,,,,,,,,,,,DOID,0040023,UMLS_CUI,C0571453,,,,,,,,,,,,,cefaclor allergy,Ceclor allergy,cefaclor allergy,cephaclor allergy,,,Ceclor allergy,cefaclor allergy,cephaclor allergy,,
0040024,DOID,0040024,UMLS_CUI,C0571458,,,,,,,,,,,,,DOID,0040024,UMLS_CUI,C0571458,,,,,,,,,,,,,ceftazidime allergy,Fortaz allergy,Tazicef allergy,ceftazidime allergy,,,Fortaz allergy,Tazicef allergy,ceftazidime allergy,,
0040025,DOID,0040025,UMLS_CUI,C0571454,,,,,,,,,,,,,DOID,0040025,UMLS_CUI,C0571454,,,,,,,,,,,,,cefuroxime allergy,Zinacef allergy,cefuroxime allergy,cephuroxime allergy,,,Zinacef allergy,cefuroxime allergy,cephuroxime allergy,,
0040026,DOID,0040026,UMLS_CUI,C0571344,,,,,,,,,,,,,DOID,0040026,UMLS_CUI,C0571344,,,,,,,,,,,,,chlorhexidine allergy,chlorhexidine allergy,,,,,chlorhexidine allergy,,,,
0040027,DOID,0040027,UMLS_CUI,C0570670,,,,,,,,,,,,,DOID,0040027,UMLS_CUI,C0570670,,,,,,,,,,,,,cyclophosphamide allergy,cyclophosphamide allergy,cytophosphane allergy,,,,cyclophosphamide allergy,cytophosphane allergy,,,
0040028,DOID,0040028,UMLS_CUI,C0571140,,,,,,,,,,,,,DOID,0040028,UMLS_CUI,C0571140,,,,,,,,,,,,,succinylcholine allergy,dicholine succinate allergy,succinocholine allergy,succinylcholine allergy,sux allergy,suxamethonium allergy,dicholine succinate allergy,succinocholine allergy,succinylcholine allergy,sux allergy,suxamethonium allergy
0040029,DOID,0040029,UMLS_CUI,C0571390,,,,,,,,,,,,,DOID,0040029,UMLS_CUI,C0571390,,,,,,,,,,,,,trimethoprim allergy,Primsol allergy,TMP allergy,proloprim allergy,trimethoprim allergy,,Primsol allergy,TMP allergy,proloprim allergy,trimethoprim allergy,
0040030,DOID,0040030,UMLS_CUI,C0571460,,,,,,,,,,,,,DOID,0040030,UMLS_CUI,C0571460,,,,,,,,,,,,,cefixime allergy,cefixime allergy,,,,,cefixime allergy,,,,
0040031,DOID,0040031,UMLS_CUI,C0570540,,,,,,,,,,,,,DOID,0040031,UMLS_CUI,C0570540,,,,,,,,,,,,,diclofenac allergy,Voltaren allergy,diclofenac allergy,,,,Voltaren allergy,diclofenac allergy,,,
0040032,DOID,0040032,UMLS_CUI,C0571443,,,,,,,,,,,,,DOID,0040032,UMLS_CUI,C0571443,,,,,,,,,,,,,carbapenem allergy,carbapenem allergy,,,,,carbapenem allergy,,,,
0040033,DOID,0040033,UMLS_CUI,C0571427,,,,,,,,,,,,,DOID,0040033,UMLS_CUI,C0571427,,,,,,,,,,,,,piperacillin allergy,piperacillin allergy,,,,,piperacillin allergy,,,,
0040034,DOID,0040034,UMLS_CUI,C0571149,,,,,,,,,,,,,DOID,0040034,UMLS_CUI,C0571149,,,,,,,,,,,,,rocuronium allergy,Esmeron allergy,Zemuron allergy,rocuronium allergy,,,Esmeron allergy,Zemuron allergy,rocuronium allergy,,
0040035,DOID,0040035,UMLS_CUI,C0570587,,,,,,,,,,,,,DOID,0040035,UMLS_CUI,C0570587,,,,,,,,,,,,,sulfasalazine allergy,sulfasalazine allergy,,,,,sulfasalazine allergy,,,,
0040036,DOID,0040036,UMLS_CUI,C0571147,,,,,,,,,,,,,DOID,0040036,UMLS_CUI,C0571147,,,,,,,,,,,,,tubocurarine allergy,DTC allergy,tubocurarine allergy,,,,DTC allergy,tubocurarine allergy,,,
0040037,DOID,0040037,UMLS_CUI,C0571476,,,,,,,,,,,,,DOID,0040037,UMLS_CUI,C0571476,,,,,,,,,,,,,aztreonam allergy,Azactam allergy,Primbactam allergy,aztreonam allergy,,,Azactam allergy,Primbactam allergy,aztreonam allergy,,
0040038,DOID,0040038,,,,,,,,,,,,,,,DOID,0040038,,,,,,,,,,,,,,,meropenem allergy,Merrem allergy,meropenem allergy,,,,Merrem allergy,meropenem allergy,,,
0040040,DOID,0040040,,,,,,,,,,,,,,,DOID,0040040,,,,,,,,,,,,,,,hexamethylene diisocyanate allergic asthma,allergic asthma to HDI,allergic asthma to HMDI,hexamethylene diisocyanate allergic asthma,,,allergic asthma to HDI,allergic asthma to HMDI,hexamethylene diisocyanate allergic asthma,,
0040041,DOID,0040041,,,,,,,,,,,,,,,DOID,0040041,,,,,,,,,,,,,,,isocyanates allergic asthma,isocyanates allergic asthma,,,,,isocyanates allergic asthma,,,,
0040042,DOID,0040042,,,,,,,,,,,,,,,DOID,0040042,,,,,,,,,,,,,,,"diphenylmethane-4,4'-diisocyanate allergic asthma",allergic asthma to MDI,"diphenylmethane-4,4'-diisocyanate allergic asthma",,,,allergic asthma to MDI,"diphenylmethane-4,4'-diisocyanate allergic asthma",,,
0040043,DOID,0040043,,,,,,,,,,,,,,,DOID,0040043,,,,,,,,,,,,,,,toluene meta-diisocyanate allergic asthma,allergic asthma to TDI,toluene meta-diisocyanate allergic asthma,,,,allergic asthma to TDI,toluene meta-diisocyanate allergic asthma,,,
0040044,DOID,0040044,,,,,,,,,,,,,,,DOID,0040044,,,,,,,,,,,,,,,methyl isocyanate allergic asthma,allergic asthma to MIC,methyl isocyanate allergic asthma,,,,allergic asthma to MIC,methyl isocyanate allergic asthma,,,
0040045,DOID,0040045,,,,,,,,,,,,,,,DOID,0040045,,,,,,,,,,,,,,,nickel allergic asthma,allergic asthma to Ni,nickel allergic asthma,,,,allergic asthma to Ni,nickel allergic asthma,,,
0040046,DOID,0040046,ICD10CM,L23.0,,,,,,,,,,,,,DOID,0040046,ICD10CM,L23.0,,,,,,,,,,,,,nickel allergic contact dermatitis,allergic contact dermatitis to Ni,nickel allergic contact dermatitis,,,,allergic contact dermatitis to Ni,nickel allergic contact dermatitis,,,
0040047,DOID,0040047,,,,,,,,,,,,,,,DOID,0040047,,,,,,,,,,,,,,,trimellitic anhydride allergic asthma,allergic asthma to TMA,trimellitic anhydride allergic asthma,,,,allergic asthma to TMA,trimellitic anhydride allergic asthma,,,
0040048,DOID,0040048,,,,,,,,,,,,,,,DOID,0040048,,,,,,,,,,,,,,,phthalic anhydride allergic asthma,phthalic anhydride allergic asthma,,,,,phthalic anhydride allergic asthma,,,,
0040049,DOID,0040049,,,,,,,,,,,,,,,DOID,0040049,,,,,,,,,,,,,,,maleic anhydride allergic asthma,allergic asthma to MA,maleic anhydride allergic asthma,,,,allergic asthma to MA,maleic anhydride allergic asthma,,,
0040050,DOID,0040050,,,,,,,,,,,,,,,DOID,0040050,,,,,,,,,,,,,,,tetrachlorophthalic anhydride allergic asthma,tetrachlorophthalic anhydride allergic asthma,,,,,tetrachlorophthalic anhydride allergic asthma,,,,
0040051,DOID,0040051,,,,,,,,,,,,,,,DOID,0040051,,,,,,,,,,,,,,,hexahydrophthalic anhydride allergic asthma,allergic asthma to HHPA,hexahydrophthalic anhydride allergic asthma,,,,allergic asthma to HHPA,hexahydrophthalic anhydride allergic asthma,,,
0040052,DOID,0040052,,,,,,,,,,,,,,,DOID,0040052,,,,,,,,,,,,,,,"diphenylmethane-4,4'-diisocyanate allergic contact dermatitis",allergic contact dermatitis to MDI,"diphenylmethane-4,4'-diisocyanate allergic contact dermatitis",,,,allergic contact dermatitis to MDI,"diphenylmethane-4,4'-diisocyanate allergic contact dermatitis",,,
0040053,DOID,0040053,,,,,,,,,,,,,,,DOID,0040053,,,,,,,,,,,,,,,cobalt allergic contact dermatitis,allergic contact dermatitis to Co,cobalt allergic contact dermatitis,,,,allergic contact dermatitis to Co,cobalt allergic contact dermatitis,,,
0040054,DOID,0040054,,,,,,,,,,,,,,,DOID,0040054,,,,,,,,,,,,,,,cobalt allergic asthma,Co allergic asthma,cobalt allergic asthma,,,,Co allergic asthma,cobalt allergic asthma,,,
0040055,DOID,0040055,,,,,,,,,,,,,,,DOID,0040055,,,,,,,,,,,,,,,palladium allergic contact dermatitis,allergic contact dermatitis to Pd,palladium allergic contact dermatitis,,,,allergic contact dermatitis to Pd,palladium allergic contact dermatitis,,,
0040056,DOID,0040056,ICD10CM,L23.0,,,,,,,,,,,,,DOID,0040056,ICD10CM,L23.0,,,,,,,,,,,,,chromium allergic contact dermatitis,chromium allergic contact dermatitis,,,,,chromium allergic contact dermatitis,,,,
0040057,DOID,0040057,UMLS_CUI,C0571102,,,,,,,,,,,,,DOID,0040057,UMLS_CUI,C0571102,,,,,,,,,,,,,benzoic acid allergic contact dermatitis,allergic contact dermatitis to benzoate,benzoic acid allergic contact dermatitis,,,,allergic contact dermatitis to benzoate,benzoic acid allergic contact dermatitis,,,
0040058,DOID,0040058,,,,,,,,,,,,,,,DOID,0040058,,,,,,,,,,,,,,,"1,4-phenylenediamine allergic contact dermatitis","1,4-phenylenediamine allergic contact dermatitis",allergic contact dermatitis to PPD,allergic contact dermatitis to p-phenylenediamine,,,"1,4-phenylenediamine allergic contact dermatitis",allergic contact dermatitis to PPD,allergic contact dermatitis to p-phenylenediamine,,
0040059,DOID,0040059,,,,,,,,,,,,,,,DOID,0040059,,,,,,,,,,,,,,,potassium dichromate allergic contact dermatitis,potassium dichromate allergic contact dermatitis,,,,,potassium dichromate allergic contact dermatitis,,,,
0040060,DOID,0040060,UMLS_CUI,C0570547,,,,,,,,,,,,,DOID,0040060,UMLS_CUI,C0570547,,,,,,,,,,,,,ketoprofen photoallergic dermatitis,ketoprofen photoallergic dermatitis,photoallergic dermatitis to Orudis,,,,ketoprofen photoallergic dermatitis,photoallergic dermatitis to Orudis,,,
0040061,DOID,0040061,,,,,,,,,,,,,,,DOID,0040061,,,,,,,,,,,,,,,remazole black respiratory allergy,remazole black respiratory allergy,respiratory allergy to Reactive Black 5,,,,remazole black respiratory allergy,respiratory allergy to Reactive Black 5,,,
0040062,DOID,0040062,,,,,,,,,,,,,,,DOID,0040062,,,,,,,,,,,,,,,chloramine T respiratory allergy,chloramine T respiratory allergy,respiratory allergy to Chloraseptin,respiratory allergy to Chlorazol,respiratory allergy to Trichlorol,,chloramine T respiratory allergy,respiratory allergy to Chloraseptin,respiratory allergy to Chlorazol,respiratory allergy to Trichlorol,
0040063,DOID,0040063,,,,,,,,,,,,,,,DOID,0040063,,,,,,,,,,,,,,,4-vinylcyclohexene dioxide respiratory allergy,4-vinylcyclohexene dioxide respiratory allergy,respiratory allergy to vinyl cyclohexene diepoxide,,,,4-vinylcyclohexene dioxide respiratory allergy,respiratory allergy to vinyl cyclohexene diepoxide,,,
0040064,DOID,0040064,,,,,,,,,,,,,,,DOID,0040064,,,,,,,,,,,,,,,carvone allergic contact dermatitis,allergic contact dermatitis to levo-carvone,carvone allergic contact dermatitis,,,,allergic contact dermatitis to levo-carvone,carvone allergic contact dermatitis,,,
0040065,DOID,0040065,UMLS_CUI,C0571881,,,,,,,,,,,,,DOID,0040065,UMLS_CUI,C0571881,,,,,,,,,,,,,quinidine allergy,Kinidin allergy,quinidine allergy,,,,Kinidin allergy,quinidine allergy,,,
0040066,DOID,0040066,UMLS_CUI,C0570673,,,,,,,,,,,,,DOID,0040066,UMLS_CUI,C0570673,,,,,,,,,,,,,melphalan allergy,Alkeran allergy,melphalan allergy,,,,Alkeran allergy,melphalan allergy,,,
0040067,DOID,0040067,UMLS_CUI,C1443961,,,,,,,,,,,,,DOID,0040067,UMLS_CUI,C1443961,,,,,,,,,,,,,neomycin sulfate allergic contact dermatitis,allergic contact dermatitis to neomycin sulphate,neomycin sulfate allergic contact dermatitis,,,,allergic contact dermatitis to neomycin sulphate,neomycin sulfate allergic contact dermatitis,,,
0040068,DOID,0040068,,,,,,,,,,,,,,,DOID,0040068,,,,,,,,,,,,,,,4-tert-butylphenol allergic contact dermatitis,4-tert-butylphenol allergic contact dermatitis,allergic contact dermatitis to PTBP,allergic contact dermatitis to butylphen,,,4-tert-butylphenol allergic contact dermatitis,allergic contact dermatitis to PTBP,allergic contact dermatitis to butylphen,,
0040069,DOID,0040069,,,,,,,,,,,,,,,DOID,0040069,,,,,,,,,,,,,,,"1-chloro-2,4-dinitrobenzene allergic contact dermatitis","1-chloro-2,4-dinitrobenzene allergic contact dermatitis",allergic contact dermatitis to DNCB,allergic contact dermatitis to dinitrochlorobenzene,,,"1-chloro-2,4-dinitrobenzene allergic contact dermatitis",allergic contact dermatitis to DNCB,allergic contact dermatitis to dinitrochlorobenzene,,
0040070,DOID,0040070,UMLS_CUI,C0571504,,,,,,,,,,,,,DOID,0040070,UMLS_CUI,C0571504,,,,,,,,,,,,,co-trimoxazole allergy,Bactrim allergy,TMP/SMX allergy,co-trimoxazole allergy,cotrimoxazol allergy,trimethoprim/sulfamethoxazole allergy,Bactrim allergy,TMP/SMX allergy,co-trimoxazole allergy,cotrimoxazol allergy,trimethoprim/sulfamethoxazole allergy
0040071,DOID,0040071,UMLS_CUI,C0571155,,,,,,,,,,,,,DOID,0040071,UMLS_CUI,C0571155,,,,,,,,,,,,,sodium aurothiomalate allergy,gold sodium thiomalate allergy,sodium aurothiomalate allergy,,,,gold sodium thiomalate allergy,sodium aurothiomalate allergy,,,
0040072,DOID,0040072,,,,,,,,,,,,,,,DOID,0040072,,,,,,,,,,,,,,,parthenolide allergic contact dermatitis,allergic contact dermatitis to feverfew,parthenolide allergic contact dermatitis,,,,allergic contact dermatitis to feverfew,parthenolide allergic contact dermatitis,,,
0040073,DOID,0040073,,,,,,,,,,,,,,,DOID,0040073,,,,,,,,,,,,,,,disodium cromoglycate allergy,DSCG allergy,disodium cromoglycate allergy,,,,DSCG allergy,disodium cromoglycate allergy,,,
0040074,DOID,0040074,UMLS_CUI,C0571339,,,,,,,,,,,,,DOID,0040074,UMLS_CUI,C0571339,,,,,,,,,,,,,formaldehyde allergic contact dermatitis,allergic contact dermatitis to formalin,formaldehyde allergic contact dermatitis,,,,allergic contact dermatitis to formalin,formaldehyde allergic contact dermatitis,,,
0040075,DOID,0040075,,,,,,,,,,,,,,,DOID,0040075,,,,,,,,,,,,,,,benzo[d]isothiazol-3-one allergic contact dermatitis,allergic contact dermatitis to BIT,allergic contact dermatitis to benzisothiazolone,benzo[d]isothiazol-3-one allergic contact dermatitis,,,allergic contact dermatitis to BIT,allergic contact dermatitis to benzisothiazolone,benzo[d]isothiazol-3-one allergic contact dermatitis,,
0040076,DOID,0040076,UMLS_CUI,C0571482,,,,,,,,,,,,,DOID,0040076,UMLS_CUI,C0571482,,,,,,,,,,,,,phthalyl group allergy,phthalyl allergy,phthalyl group allergy,,,,phthalyl allergy,phthalyl group allergy,,,
0040077,DOID,0040077,,,,,,,,,,,,,,,DOID,0040077,,,,,,,,,,,,,,,alcuronium bromide allergy,alcuronium bromide allergy,,,,,alcuronium bromide allergy,,,,
0040078,DOID,0040078,UMLS_CUI,C0571145,,,,,,,,,,,,,DOID,0040078,UMLS_CUI,C0571145,,,,,,,,,,,,,gallamine allergy,gallamine allergy,,,,,gallamine allergy,,,,
0040079,DOID,0040079,,,,,,,,,,,,,,,DOID,0040079,,,,,,,,,,,,,,,"2,4-dinitrophenyl allergic contact dermatitis","2,4-dinitrophenyl allergic contact dermatitis",allergic contact dermatitis to DNP,,,,"2,4-dinitrophenyl allergic contact dermatitis",allergic contact dermatitis to DNP,,,
0040080,DOID,0040080,,,,,,,,,,,,,,,DOID,0040080,,,,,,,,,,,,,,,patent blue V allergy,patent blue V allergy,,,,,patent blue V allergy,,,,
0040081,DOID,0040081,,,,,,,,,,,,,,,DOID,0040081,,,,,,,,,,,,,,,acid anhydride respiratory allergy,acid anhydride respiratory allergy,,,,,acid anhydride respiratory allergy,,,,
0040082,DOID,0040082,,,,,,,,,,,,,,,DOID,0040082,,,,,,,,,,,,,,,oxirane allergy,ETO allergy,ethylene oxide allergy,oxirane allergy,,,ETO allergy,ethylene oxide allergy,oxirane allergy,,
0040083,DOID,0040083,ICD10CM,J16.0,ICD9CM,483.1,,,,,,,,,,,DOID,0040083,ICD10CM,J16.0,ICD9CM,483.1,,,,,,,,,,,Chlamydia pneumonia,Chlamydia pneumonia,,,,,Chlamydia pneumonia,,,,
0040084,DOID,0040084,ICD10CM,J13,ICD9CM,481,,,,,,,,,,,DOID,0040084,ICD10CM,J13,ICD9CM,481,,,,,,,,,,,Streptococcus pneumonia,Streptococcus pneumonia,,,,,Streptococcus pneumonia,,,,
0040085,DOID,0040085,ICD9CM,995.91,SNOMEDCT_US_2018_03_01,17463016,,,,,,,,,,,DOID,0040085,ICD9CM,995.91,SNOMEDCT_US_2018_03_01,17463016,,,,,,,,,,,bacterial sepsis,bacterial sepsis,,,,,bacterial sepsis,,,,
0040086,DOID,0040086,UMLS_CUI,C1697878,,,,,,,,,,,,,DOID,0040086,UMLS_CUI,C1697878,,,,,,,,,,,,,Polyomavirus-associated Nephropathy,PVAN,Polyomavirus-associated Nephropathy,polyomavirus associated nephropathy,,,PVAN,Polyomavirus-associated Nephropathy,polyomavirus associated nephropathy,,
0040087,DOID,0040087,,,,,,,,,,,,,,,DOID,0040087,,,,,,,,,,,,,,,autoimmune peripheral neuropathy,autoimmune peripheral neuropathy,,,,,autoimmune peripheral neuropathy,,,,
0040088,DOID,0040088,,,,,,,,,,,,,,,DOID,0040088,,,,,,,,,,,,,,,autoimmune uveitis,autoimmune uveitis,,,,,autoimmune uveitis,,,,
0040089,DOID,0040089,,,,,,,,,,,,,,,DOID,0040089,,,,,,,,,,,,,,,autoimmune optic neuritis,autoimmune optic neuritis,,,,,autoimmune optic neuritis,,,,
0040090,DOID,0040090,,,,,,,,,,,,,,,DOID,0040090,,,,,,,,,,,,,,,autoimmune gastritis,autoimmune gastritis,,,,,autoimmune gastritis,,,,
0040091,DOID,0040091,UMLS_CUI,C2609129,,,,,,,,,,,,,DOID,0040091,UMLS_CUI,C2609129,,,,,,,,,,,,,autoimmune pancreatitis,autoimmune pancreatitis,,,,,autoimmune pancreatitis,,,,
0040092,DOID,0040092,ICD10CM,M08.1,UMLS_CUI,C0409675,,,,,,,,,,,DOID,0040092,ICD10CM,M08.1,UMLS_CUI,C0409675,,,,,,,,,,,juvenile ankylosing spondylitis,juvenile ankylosing spondylitis,,,,,juvenile ankylosing spondylitis,,,,
0040093,DOID,0040093,ICD10CM,M32.0,UMLS_CUI,C0263591,,,,,,,,,,,DOID,0040093,ICD10CM,M32.0,UMLS_CUI,C0263591,,,,,,,,,,,drug-induced lupus erythematosus,DIL,DILE,drug-induced lupus erythematosus,,,DIL,DILE,drug-induced lupus erythematosus,,
0040094,DOID,0040094,,,,,,,,,,,,,,,DOID,0040094,,,,,,,,,,,,,,,autoimmune glomerulonephritis,autoimmune glomerulonephritis,,,,,autoimmune glomerulonephritis,,,,
0040095,DOID,0040095,,,,,,,,,,,,,,,DOID,0040095,,,,,,,,,,,,,,,autoimmune cardiomyopathy,autoimmune cardiomyopathy,,,,,autoimmune cardiomyopathy,,,,
